pgfam	Escherichia_coli_str._K-12_substr._MG1655	Escherichia_coli_strain_1408270010	Escherichia_coli_strain_1409150006	Escherichia_coli_strain_1512290008	Escherichia_coli_strain_1409160003	Escherichia_coli_strain_20170221001	Escherichia_coli_NC101	Escherichia_coli_strain_1512290026	Escherichia_coli_IHE3034	Escherichia_coli_UTI89
PGF_00271396	0.0	2.0	3.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0
PGF_00032062	0.0	2.0	3.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0
PGF_00063388	0.0	2.0	3.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0
PGF_00294400	0.0	2.0	4.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0
PGF_03988650	0.0	2.0	4.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0
PGF_00342867	0.0	2.0	4.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0
PGF_00093824	0.0	2.0	4.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0
PGF_00182268	0.0	2.0	4.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0
PGF_10471557	0.0	2.0	2.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0
PGF_00414310	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	0.0	0.0
PGF_04357668	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	0.0	0.0
PGF_12907932	0.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0
PGF_00040787	0.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0
PGF_00238321	0.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0
PGF_02158014	0.0	3.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
PGF_00220178	0.0	2.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0
PGF_10496915	0.0	2.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0
PGF_03080445	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0
PGF_00055324	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0
PGF_03202473	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0
PGF_02967337	1.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0
PGF_04815137	0.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	0.0	1.0
PGF_00015778	0.0	2.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
PGF_07365367	0.0	2.0	5.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
PGF_00047447	0.0	3.0	2.0	2.0	3.0	0.0	1.0	2.0	0.0	0.0
PGF_00400801	1.0	3.0	2.0	2.0	3.0	0.0	1.0	2.0	0.0	0.0
PGF_00011486	0.0	3.0	3.0	3.0	4.0	2.0	1.0	0.0	0.0	1.0
PGF_02908774	0.0	3.0	3.0	3.0	2.0	1.0	2.0	0.0	0.0	0.0
PGF_00040275	2.0	2.0	2.0	1.0	2.0	2.0	4.0	1.0	0.0	3.0
PGF_00029677	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0
PGF_10065087	1.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	2.0	2.0
PGF_05135990	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0
PGF_01785347	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0
PGF_03844200	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0
PGF_00425021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0
PGF_00018065	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0
PGF_00056897	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0
PGF_00011753	1.0	2.0	4.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0
PGF_00012987	1.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	3.0	3.0
PGF_00060428	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	2.0
PGF_00024478	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_02280536	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_07487229	1.0	3.0	3.0	3.0	1.0	3.0	3.0	1.0	1.0	1.0
PGF_02142873	1.0	3.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0
PGF_02871179	0.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0
PGF_00064841	1.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	1.0	1.0
PGF_03084064	0.0	3.0	3.0	3.0	1.0	2.0	3.0	3.0	1.0	1.0
PGF_00416841	0.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	3.0
PGF_00424726	1.0	3.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	3.0
PGF_00005236	1.0	4.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0
PGF_00417435	1.0	4.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_00719345	1.0	4.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_00065497	1.0	2.0	2.0	2.0	3.0	3.0	2.0	1.0	2.0	2.0
PGF_00067424	0.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0
PGF_00407016	0.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0
PGF_09526797	0.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	3.0
PGF_08364774	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0
PGF_02988822	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0
PGF_03215471	1.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	3.0	3.0
PGF_00067296	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0
PGF_00067294	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0
PGF_00064380	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0
PGF_00065498	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0
PGF_05980122	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0
PGF_00055635	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0
PGF_00060250	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0
PGF_03352446	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0
PGF_09449034	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_09198321	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_07744023	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_07058319	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_03974418	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_03810089	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_03376111	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_03324420	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_02942507	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_02156631	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_01894207	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_01124177	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00853393	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00662831	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00420012	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00406692	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00065397	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00055989	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00054528	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00020889	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00019956	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00019273	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00007353	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00016121	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_05910234	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0
PGF_00027524	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0
PGF_12693311	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_10518532	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_10164212	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_10109529	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_09372748	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_08932911	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_08215614	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_08108653	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_08033164	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_07760799	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_07201805	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_07109475	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_06956858	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_06077968	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_05982667	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_04992191	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_04718052	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_03846068	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_03760224	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_03056683	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_02961167	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_02776009	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_02703381	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_02346669	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_01899924	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_01605461	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00710545	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00671335	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00064393	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00057399	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00049363	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00047734	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00047732	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00047730	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00033237	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00017613	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00015701	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00005384	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00008192	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_05296607	0.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0
PGF_08284191	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_08082313	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00761144	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00006396	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00044244	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PGF_00055816	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_00057445	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_00027887	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0
PGF_00064718	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0
PGF_03069349	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	3.0
PGF_12886365	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_07829604	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_07067227	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_06086184	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_04819167	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_04816404	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_02979767	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_01929932	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_00014408	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_01645412	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0
PGF_00015213	0.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0
PGF_00064556	1.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0
PGF_01979610	1.0	3.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_00010161	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	2.0
PGF_10319574	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	2.0
PGF_10317148	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_06728837	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_03456354	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_02417803	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_00033420	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_00418128	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PGF_00065596	1.0	2.0	2.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0
PGF_10301134	1.0	3.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	1.0
PGF_06775354	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0
PGF_00010851	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0
PGF_02382389	1.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0
PGF_00612337	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0
PGF_00006137	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0
PGF_03919925	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0
PGF_00121699	0.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0
PGF_10518765	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0
PGF_10527622	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_09438139	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_08607235	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_07525202	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_07179577	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_06889881	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_06326847	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_03774796	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_03474542	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_03233642	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_02872750	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_02744871	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_02186693	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_01555804	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00846343	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00411483	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00400692	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00046377	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00040822	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00008042	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00005572	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00005454	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00005450	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00005358	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00005354	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00005284	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00005288	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
PGF_00037042	1.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
PGF_00067183	0.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
PGF_00058981	1.0	2.0	2.0	2.0	0.0	1.0	2.0	1.0	1.0	1.0
PGF_07149575	0.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0
PGF_09711087	0.0	2.0	2.0	2.0	5.0	0.0	0.0	0.0	0.0	2.0
PGF_02927666	0.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	0.0	1.0
PGF_07304485	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	0.0	1.0
PGF_00065414	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0
PGF_07220970	0.0	1.0	1.0	1.0	5.0	0.0	1.0	1.0	2.0	1.0
PGF_00402865	0.0	1.0	1.0	1.0	4.0	0.0	1.0	1.0	1.0	1.0
PGF_04009105	0.0	1.0	1.0	1.0	5.0	0.0	1.0	1.0	1.0	1.0
PGF_07342234	0.0	1.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0
PGF_03298775	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	1.0
PGF_12869809	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_10469964	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_10462471	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_10408884	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_07120629	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_05809269	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_05413042	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_04803938	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_04535022	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_04534249	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_04008137	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_03919175	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_03297988	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_01627181	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_01624709	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_00298192	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_00271801	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_00080155	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_00032181	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_00032244	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
PGF_07945121	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
PGF_05949727	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
PGF_05608697	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
PGF_01630865	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
PGF_00372502	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
PGF_01630532	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
PGF_12912986	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0
PGF_12791542	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0
PGF_03375877	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0
PGF_01624602	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0
PGF_00287851	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0
